drug,model,auc_roc,auc_pr,f1,mcc,accuracy
isoniazid,logistic_l1,0.9996,0.9889,0.9474,0.9453,0.9933
isoniazid,logistic_l2,0.9992,0.9889,0.9474,0.9453,0.9933
isoniazid,random_forest,0.9992,0.9889,0.9474,0.9453,0.9933
isoniazid,svm_rbf,0.9992,0.9889,0.9474,0.9453,0.9933
isoniazid,gradient_boost,1.0,1.0,0.9474,0.9453,0.9933
rifampicin,logistic_l1,1.0,1.0,0.9524,0.9501,0.9933
rifampicin,logistic_l2,1.0,1.0,1.0,1.0,1.0
rifampicin,random_forest,1.0,1.0,1.0,1.0,1.0
rifampicin,svm_rbf,1.0,1.0,1.0,1.0,1.0
rifampicin,gradient_boost,1.0,1.0,0.9524,0.9501,0.9933
ciprofloxacin,logistic_l1,0.998,0.9863,0.9444,0.9388,0.9867
ciprofloxacin,logistic_l2,0.9972,0.9838,0.9444,0.9388,0.9867
ciprofloxacin,random_forest,0.9996,0.9974,0.9444,0.9388,0.9867
ciprofloxacin,svm_rbf,0.9988,0.9928,0.973,0.9696,0.9933
ciprofloxacin,gradient_boost,0.9982,0.9881,0.9143,0.9073,0.98
ampicillin,logistic_l1,0.9965,0.9,0.9474,0.9453,0.9933
ampicillin,logistic_l2,1.0,1.0,1.0,1.0,1.0
ampicillin,random_forest,1.0,1.0,1.0,1.0,1.0
ampicillin,svm_rbf,1.0,1.0,1.0,1.0,1.0
ampicillin,gradient_boost,0.9965,0.9,0.9474,0.9453,0.9933
methicillin,logistic_l1,1.0,1.0,1.0,1.0,1.0
methicillin,logistic_l2,1.0,1.0,1.0,1.0,1.0
methicillin,random_forest,1.0,1.0,1.0,1.0,1.0
methicillin,svm_rbf,1.0,1.0,1.0,1.0,1.0
methicillin,gradient_boost,0.8741,0.7567,0.8571,0.8631,0.9933
